  1                                                                             
  .12988  .15479  .18457  .21777  .24170  .27979  .00000  .00000  .00000  .00000
  .00750  .00700  .00635  .00629  .00604  .00577  .00529  .00549  .00565  -.00001
  .00690  .00620  .00661  .00500  .00560  .00572  .00655  .00660  .00710  -.00001
  .00620  .00680  .00680  .00638  .00665  .00587  .00750  .00729  .00790  -.00001
  .00860  .00809  .00719  .00612  .00723  .00710  .00800  .00960  .01005  -.00001
  .00999  .00990  .00845  .00877  .00870  .00900  .00999  .01102  -.00001  -.00001
  .01050  .00940  .00906  .00850  .00974  .01379  .01590  -.00001  -.00001  -.00001
  .01180  .01080  .01109  .00945  .01250  .01710  .02219  -.00001  -.00001  -.00001
  .01260  .01260  .01220  .01209  .01400  .01800  -.00001  -.00001  -.00001  -.00001
  .01379  .01400  .01410  .01420  .01520  .01800  -.00001  -.00001  -.00001  -.00001
  .01520  .01600  .01600  .01640  .01730  .01920  -.00001  -.00001  -.00001  -.00001
  6                                                                             
  .42383  .51953  .59961  .65967  .72070  .77100  .80957  .81982  .80469  .00000
  .38477  .49365  .57959  .64795  .69775  .74463  .80957  .84961  .85986  .00000
  .38965  .44971  .52490  .60596  .66992  .73584  .78955  .84961  .89990  .00000
  .35156  .41455  .48975  .55957  .61475  .68994  .75977  .81885  .89990  .00000
  .31982  .38379  .44971  .51074  .57275  .63965  .69971  .77979  .00000  .00000
  .30957  .35986  .41064  .46484  .51953  .56982  .61963  .00000  .00000  .00000
  .28467  .28955  .36182  .39063  .44189  .49463  .52979  .00000  .00000  .00000
  .26953  .27979  .31982  .36963  .40967  .43994  .00000  .00000  .00000  .00000
  .25000  .26953  .30859  .34961  .38379  .41992  .00000  .00000  .00000  .00000
  .23975  .26172  .29980  .33984  .36963  .39990  .00000  .00000  .00000  .00000
  .01920  .01600  .01500  .01285  .01099  .00980  .00809  .00719  .00670  -.00001
  .01489  .01590  .01620  .01209  .00908  .00874  .00874  .00739  .00770  -.00001
  .01220  .01089  .01015  .01134  .01050  .01047  .00990  .00819  .00840  -.00001
  .01379  .01130  .01030  .01019  .00816  .00855  .00999  .00986  .01019  -.00001
  .01559  .01465  .01099  .00877  .00951  .00960  .01044  .01218  -.00001  -.00001
